id,state_id,state_name,district_id,district_name,market_id,market_name,census_state_id,census_state_name,census_district_id,census_district_name,commodity_id,commodity_name,variety,grade,min_price,max_price,modal_price,date
56007305,KK,Karnataka,6,Davangere,749,Channagiri,29,KARNATAKA,567,Davanagere,140,Arecanut(Betelnut/Supari),Rashi,,43829,47569,46342,2022-01-01
56007306,KK,Karnataka,19,"Karwar(Uttar Kannad)",796,Sirsi,29,KARNATAKA,563,"Uttara Kannada",140,Arecanut(Betelnut/Supari),Bilegotu,,24699,37589,28951,2022-01-01
56007307,KK,Karnataka,19,"Karwar(Uttar Kannad)",796,Sirsi,29,KARNATAKA,563,"Uttara Kannada",140,Arecanut(Betelnut/Supari),Bette,,36199,45599,42009,2022-01-01
56007308,KK,Karnataka,19,"Karwar(Uttar Kannad)",796,Sirsi,29,KARNATAKA,563,"Uttara Kannada",140,Arecanut(Betelnut/Supari),Rashi,,46308,48108,47137,2022-01-01
56007309,KK,Karnataka,19,"Karwar(Uttar Kannad)",796,Sirsi,29,KARNATAKA,563,"Uttara Kannada",140,Arecanut(Betelnut/Supari),Chali,,48699,49299,48946,2022-01-01
56007310,KK,Karnataka,22,"Mangalore(Dakshin Kannad)",744,Mangalore,29,KARNATAKA,575,"Dakshina Kannada",140,Arecanut(Betelnut/Supari),Cqca,,31000,40000,37500,2022-01-01
56007311,KK,Karnataka,22,"Mangalore(Dakshin Kannad)",745,Puttur,29,KARNATAKA,575,"Dakshina Kannada",140,Arecanut(Betelnut/Supari),"New Variety",,27500,45000,36250,2022-01-01
56007312,KK,Karnataka,22,"Mangalore(Dakshin Kannad)",747,Belthangdi,29,KARNATAKA,575,"Dakshina Kannada",140,Arecanut(Betelnut/Supari),Cqca,,28400,28500,28480,2022-01-01
56007313,KK,Karnataka,22,"Mangalore(Dakshin Kannad)",747,Belthangdi,29,KARNATAKA,575,"Dakshina Kannada",140,Arecanut(Betelnut/Supari),"New Variety",,33600,45000,40000,2022-01-01
56007314,KK,Karnataka,22,"Mangalore(Dakshin Kannad)",747,Belthangdi,29,KARNATAKA,575,"Dakshina Kannada",140,Arecanut(Betelnut/Supari),Other,,32000,36000,35000,2022-01-01
56007315,KK,Karnataka,22,"Mangalore(Dakshin Kannad)",748,Bantwala,29,KARNATAKA,575,"Dakshina Kannada",140,Arecanut(Betelnut/Supari),Cqca,,12500,25000,22500,2022-01-01
56007316,KK,Karnataka,22,"Mangalore(Dakshin Kannad)",748,Bantwala,29,KARNATAKA,575,"Dakshina Kannada",140,Arecanut(Betelnut/Supari),"New Variety",,27500,45000,42000,2022-01-01
56007317,KK,Karnataka,24,Tumkur,784,Tumkur,29,KARNATAKA,571,Tumkur,140,Arecanut(Betelnut/Supari),Rashi,,45800,46800,46200,2022-01-01
56007318,KK,Karnataka,24,Tumkur,789,Sira,29,KARNATAKA,571,Tumkur,140,Arecanut(Betelnut/Supari),Other,,9000,45000,41703,2022-01-01
56007319,KK,Karnataka,26,Udupi,519,Karkala,29,KARNATAKA,569,Udupi,140,Arecanut(Betelnut/Supari),"New Variety",,40000,45000,43000,2022-01-01
56007320,KK,Karnataka,26,Udupi,845,Kundapura,29,KARNATAKA,569,Udupi,140,Arecanut(Betelnut/Supari),Ripe,,43500,44500,44000,2022-01-01
56014669,KK,Karnataka,18,Hassan,4400,Arakalgud,29,KARNATAKA,574,Hassan,140,Arecanut(Betelnut/Supari),Other,,19500,54500,48000,2022-01-02
56014670,KK,Karnataka,23,Shimoga,3976,Thirthahalli,29,KARNATAKA,568,Shimoga,140,Arecanut(Betelnut/Supari),Bette,,47569,53899,51535,2022-01-02
56014671,KK,Karnataka,23,Shimoga,3976,Thirthahalli,29,KARNATAKA,568,Shimoga,140,Arecanut(Betelnut/Supari),Saraku,,48199,73700,68689,2022-01-02
56014672,KK,Karnataka,23,Shimoga,3976,Thirthahalli,29,KARNATAKA,568,Shimoga,140,Arecanut(Betelnut/Supari),Gorabalu,,28121,36699,35799,2022-01-02
56014673,KK,Karnataka,23,Shimoga,3976,Thirthahalli,29,KARNATAKA,568,Shimoga,140,Arecanut(Betelnut/Supari),Rashi,,40872,48722,47269,2022-01-02
56014674,KK,Karnataka,23,Shimoga,3976,Thirthahalli,29,KARNATAKA,568,Shimoga,140,Arecanut(Betelnut/Supari),EDI,,40199,47569,47169,2022-01-02
56027137,KK,Karnataka,6,Davangere,509,Honnali,29,KARNATAKA,567,Davanagere,140,Arecanut(Betelnut/Supari),Rashi,Medium,47299,47699,47599,2022-01-03
56027138,KK,Karnataka,15,Chikmagalur,739,Koppa,29,KARNATAKA,570,Chikmagalur,140,Arecanut(Betelnut/Supari),Bette,,50399,50399,50399,2022-01-03
56027139,KK,Karnataka,15,Chikmagalur,739,Koppa,29,KARNATAKA,570,Chikmagalur,140,Arecanut(Betelnut/Supari),Gorabalu,,36199,36199,36199,2022-01-03
56027140,KK,Karnataka,15,Chikmagalur,739,Koppa,29,KARNATAKA,570,Chikmagalur,140,Arecanut(Betelnut/Supari),Rashi,,40000,47599,47399,2022-01-03
56027141,KK,Karnataka,19,"Karwar(Uttar Kannad)",792,Kumta,29,KARNATAKA,563,"Uttara Kannada",140,Arecanut(Betelnut/Supari),Cqca,,18019,28509,27849,2022-01-03
56027142,KK,Karnataka,19,"Karwar(Uttar Kannad)",792,Kumta,29,KARNATAKA,563,"Uttara Kannada",140,Arecanut(Betelnut/Supari),Chippu,,25109,33019,32589,2022-01-03
56027143,KK,Karnataka,19,"Karwar(Uttar Kannad)",792,Kumta,29,KARNATAKA,563,"Uttara Kannada",140,Arecanut(Betelnut/Supari),Factory,,13099,19299,18829,2022-01-03
56027144,KK,Karnataka,19,"Karwar(Uttar Kannad)",792,Kumta,29,KARNATAKA,563,"Uttara Kannada",140,Arecanut(Betelnut/Supari),Ripe,,36509,41199,40749,2022-01-03
56027145,KK,Karnataka,19,"Karwar(Uttar Kannad)",794,Siddapur,29,KARNATAKA,563,"Uttara Kannada",140,Arecanut(Betelnut/Supari),Bilegotu,,28899,38769,34899,2022-01-03
56027146,KK,Karnataka,19,"Karwar(Uttar Kannad)",794,Siddapur,29,KARNATAKA,563,"Uttara Kannada",140,Arecanut(Betelnut/Supari),Kempugotu,,31869,34099,33699,2022-01-03
56027147,KK,Karnataka,19,"Karwar(Uttar Kannad)",794,Siddapur,29,KARNATAKA,563,"Uttara Kannada",140,Arecanut(Betelnut/Supari),Cqca,,26012,38399,32299,2022-01-03
56027148,KK,Karnataka,19,"Karwar(Uttar Kannad)",794,Siddapur,29,KARNATAKA,563,"Uttara Kannada",140,Arecanut(Betelnut/Supari),Tattibettee,,39219,44899,39699,2022-01-03
56027149,KK,Karnataka,19,"Karwar(Uttar Kannad)",794,Siddapur,29,KARNATAKA,563,"Uttara Kannada",140,Arecanut(Betelnut/Supari),Rashi,,45009,48599,47799,2022-01-03
56027150,KK,Karnataka,19,"Karwar(Uttar Kannad)",794,Siddapur,29,KARNATAKA,563,"Uttara Kannada",140,Arecanut(Betelnut/Supari),Chali,,41609,48599,46899,2022-01-03
56027151,KK,Karnataka,19,"Karwar(Uttar Kannad)",794,Siddapur,29,KARNATAKA,563,"Uttara Kannada",140,Arecanut(Betelnut/Supari),Ripe,,32059,46899,37299,2022-01-03
56027152,KK,Karnataka,19,"Karwar(Uttar Kannad)",795,Yellapur,29,KARNATAKA,563,"Uttara Kannada",140,Arecanut(Betelnut/Supari),Bilegotu,,28899,38511,34629,2022-01-03
56027153,KK,Karnataka,19,"Karwar(Uttar Kannad)",795,Yellapur,29,KARNATAKA,563,"Uttara Kannada",140,Arecanut(Betelnut/Supari),api,,53869,56765,54809,2022-01-03
56027154,KK,Karnataka,19,"Karwar(Uttar Kannad)",795,Yellapur,29,KARNATAKA,563,"Uttara Kannada",140,Arecanut(Betelnut/Supari),Kempugotu,,29012,37699,34611,2022-01-03
